,Round,Date,Home,xGH,xGA,Away,Attendance,GHome,GAway,Winner,Season
276,Regular Season,2021-08-21,Inter Miami,2.1,0.9,Toronto FC,14897,3,1,Inter Miami,2021
277,Regular Season,2021-08-21,New England,2.3,0.9,FC Cincinnati,18268,4,1,New England,2021
278,Regular Season,2021-08-21,Orlando City,1.0,1.1,Chicago Fire,15538,1,0,Orlando City,2021
279,Regular Season,2021-08-21,Philadelphia,1.1,1.0,CF Montréal,14794,1,1,,2021
280,Regular Season,2021-08-21,D.C. United,2.9,1.3,Atlanta Utd,17180,1,2,Atlanta Utd,2021
281,Regular Season,2021-08-21,Houston Dynamo,2.1,0.9,FC Dallas,13548,2,2,,2021
282,Regular Season,2021-08-21,Colorado Rapids,1.5,1.8,Real Salt Lake,13134,2,1,Colorado Rapids,2021
283,Regular Season,2021-08-21,Austin FC,2.8,0.9,Portland Timbers,20738,3,1,Austin FC,2021
285,Regular Season,2021-08-21,Vancouver,1.5,3.9,Los Angeles FC,0,2,1,Vancouver,2021
286,Regular Season,2021-08-27,Columbus Crew,2.3,1.1,FC Cincinnati,19949,3,2,Columbus Crew,2021
287,Regular Season,2021-08-27,CF Montréal,2.5,0.8,Toronto FC,0,3,1,CF Montréal,2021
288,Regular Season,2021-08-27,Orlando City,1.9,0.6,Inter Miami,17817,0,0,,2021
289,Regular Season,2021-08-28,Atlanta Utd,0.5,1.0,Nashville,42506,0,2,Nashville,2021
290,Regular Season,2021-08-28,NY Red Bulls,0.9,1.1,Chicago Fire,12018,0,1,Chicago Fire,2021
291,Regular Season,2021-08-28,Los Angeles FC,3.0,1.2,LA Galaxy,22032,3,3,,2021
292,Regular Season,2021-08-28,NYCFC,2.1,0.7,New England,0,2,0,NYCFC,2021
293,Regular Season,2021-08-28,D.C. United,2.8,0.4,Philadelphia,16593,3,1,D.C. United,2021
294,Regular Season,2021-08-28,Sporting KC,1.5,2.2,Colorado Rapids,19883,1,1,,2021
295,Regular Season,2021-08-28,Houston Dynamo,0.7,1.4,Minnesota Utd,14521,1,2,Minnesota Utd,2021
296,Regular Season,2021-08-29,Austin FC,1.4,3.7,FC Dallas,20738,3,5,FC Dallas,2021
297,Regular Season,2021-08-29,Vancouver,1.7,0.7,Real Salt Lake,7503,4,1,Vancouver,2021
298,Regular Season,2021-08-29,Seattle,1.0,1.2,Portland Timbers,45737,0,2,Portland Timbers,2021
299,Regular Season,2021-09-03,Nashville,1.0,2.0,NYCFC,20126,3,1,Nashville,2021
300,Regular Season,2021-09-03,Philadelphia,0.7,1.0,New England,15152,0,1,New England,2021
301,Regular Season,2021-09-03,Houston Dynamo,1.1,1.9,Portland Timbers,9872,0,2,Portland Timbers,2021
302,Regular Season,2021-09-03,Los Angeles FC,3.3,0.5,Sporting KC,22018,4,0,Los Angeles FC,2021
303,Regular Season,2021-09-04,Vancouver,2.0,1.6,Austin FC,9223,2,1,Vancouver,2021
304,Regular Season,2021-09-04,Orlando City,1.4,0.8,Columbus Crew,15366,3,2,Orlando City,2021
305,Regular Season,2021-09-04,Real Salt Lake,2.7,1.3,FC Dallas,15882,3,2,Real Salt Lake,2021
306,Regular Season,2021-09-04,FC Cincinnati,0.7,1.1,Inter Miami,22234,0,1,Inter Miami,2021
307,Regular Season,2021-09-04,San Jose,1.2,1.0,Colorado Rapids,14142,0,1,Colorado Rapids,2021
308,Regular Season,2021-09-10,Atlanta Utd,1.6,0.3,Orlando City,42507,3,0,Atlanta Utd,2021
309,Regular Season,2021-09-10,Vancouver,1.0,1.2,Portland Timbers,0,0,1,Portland Timbers,2021
311,Regular Season,2021-09-11,Colorado Rapids,1.5,1.2,LA Galaxy,11736,1,1,,2021
312,Regular Season,2021-09-11,Seattle,1.3,0.8,Minnesota Utd,33130,1,0,Seattle,2021
313,Regular Season,2021-09-11,NY Red Bulls,0.5,1.6,D.C. United,12574,1,1,,2021
314,Regular Season,2021-09-11,New England,1.4,0.7,NYCFC,19481,2,1,New England,2021
315,Regular Season,2021-09-11,Inter Miami,0.6,0.5,Columbus Crew,15014,1,0,Inter Miami,2021
316,Regular Season,2021-09-11,FC Cincinnati,1.3,0.8,Toronto FC,22636,2,0,FC Cincinnati,2021
317,Regular Season,2021-09-11,CF Montréal,0.8,0.9,Nashville,0,0,1,Nashville,2021
318,Regular Season,2021-09-11,FC Dallas,1.5,1.8,San Jose,15237,1,1,,2021
319,Regular Season,2021-09-11,Sporting KC,2.0,1.1,Chicago Fire,18467,2,0,Sporting KC,2021
320,Regular Season,2021-09-11,Houston Dynamo,1.0,0.9,Austin FC,14070,3,0,Houston Dynamo,2021
321,Regular Season,2021-09-12,Los Angeles FC,0.9,1.1,Real Salt Lake,22130,3,2,Los Angeles FC,2021
322,Regular Season,2021-09-14,NYCFC,2.4,2.0,FC Dallas,0,3,3,,2021
323,Regular Season,2021-09-14,Toronto FC,0.9,1.6,Inter Miami,7970,0,1,Inter Miami,2021
324,Regular Season,2021-09-14,Columbus Crew,1.8,1.3,NY Red Bulls,17358,2,1,Columbus Crew,2021
325,Regular Season,2021-09-15,Atlanta Utd,2.0,1.3,FC Cincinnati,42501,4,0,Atlanta Utd,2021
326,Regular Season,2021-09-15,Orlando City,0.7,1.7,CF Montréal,14133,2,4,CF Montréal,2021
327,Regular Season,2021-09-15,D.C. United,2.0,1.3,Chicago Fire,13524,3,0,D.C. United,2021
328,Regular Season,2021-09-15,Sporting KC,2.4,0.8,Minnesota Utd,16888,4,0,Sporting KC,2021
329,Regular Season,2021-09-15,Austin FC,1.1,2.3,Los Angeles FC,20738,1,2,Los Angeles FC,2021
330,Regular Season,2021-09-15,Portland Timbers,1.7,2.0,Colorado Rapids,16808,2,2,,2021
331,Regular Season,2021-09-15,LA Galaxy,0.9,1.1,Houston Dynamo,15341,1,1,,2021
332,Regular Season,2021-09-15,San Jose,1.0,2.2,Real Salt Lake,9636,3,4,Real Salt Lake,2021
333,Regular Season,2021-09-17,Inter Miami,0.1,2.4,NY Red Bulls,18535,0,4,NY Red Bulls,2021
334,Regular Season,2021-09-18,Atlanta Utd,3.0,1.1,D.C. United,42608,3,2,Atlanta Utd,2021
335,Regular Season,2021-09-18,New England,2.6,1.1,Columbus Crew,19004,1,1,,2021
337,Regular Season,2021-09-18,FC Cincinnati,0.9,1.3,NYCFC,21978,1,2,NYCFC,2021
338,Regular Season,2021-09-18,Toronto FC,1.4,1.6,Nashville,9892,2,1,Toronto FC,2021
339,Regular Season,2021-09-18,Minnesota Utd,1.0,0.8,LA Galaxy,19400,3,0,Minnesota Utd,2021
340,Regular Season,2021-09-18,Austin FC,2.6,1.9,San Jose,20738,3,4,San Jose,2021
341,Regular Season,2021-09-18,Real Salt Lake,1.5,0.4,Seattle,19850,1,0,Real Salt Lake,2021
342,Regular Season,2021-09-18,Houston Dynamo,2.7,1.2,FC Dallas,12353,3,2,Houston Dynamo,2021
343,Regular Season,2021-09-19,CF Montréal,1.4,0.8,Chicago Fire,0,2,0,CF Montréal,2021
344,Regular Season,2021-09-19,Philadelphia,2.1,0.6,Orlando City,15032,3,1,Philadelphia,2021
345,Regular Season,2021-09-19,Portland Timbers,1.5,2.1,Los Angeles FC,21311,2,1,Portland Timbers,2021
346,Regular Season,2021-09-19,Colorado Rapids,1.9,0.9,Vancouver,8454,1,1,,2021
347,Regular Season,2021-09-22,Inter Miami,0.5,3.0,Nashville,13033,1,5,Nashville,2021
348,Regular Season,2021-09-22,Chicago Fire,2.6,1.7,New England,7052,2,3,New England,2021
349,Regular Season,2021-09-22,NY Red Bulls,1.3,1.0,NYCFC,16072,1,1,,2021
350,Regular Season,2021-09-25,Philadelphia,1.3,0.2,Atlanta Utd,0,1,0,Philadelphia,2021
351,Regular Season,2021-09-25,New England,1.2,1.6,Orlando City,23506,2,1,New England,2021
352,Regular Season,2021-09-25,Columbus Crew,0.8,1.2,CF Montréal,19423,2,1,Columbus Crew,2021
353,Regular Season,2021-09-25,D.C. United,3.4,1.1,FC Cincinnati,16069,4,2,D.C. United,2021
354,Regular Season,2021-09-25,NYCFC,1.3,1.5,NY Red Bulls,0,0,1,NY Red Bulls,2021
355,Regular Season,2021-09-25,Colorado Rapids,1.0,0.3,Toronto FC,12613,0,0,,2021
356,Regular Season,2021-09-25,Minnesota Utd,0.8,1.1,Houston Dynamo,19471,2,0,Minnesota Utd,2021
357,Regular Season,2021-09-25,San Jose,1.5,0.9,Los Angeles FC,16927,2,0,San Jose,2021
358,Regular Season,2021-09-25,Vancouver,1.2,1.7,FC Dallas,16927,1,0,Vancouver,2021
359,Regular Season,2021-09-25,Portland Timbers,1.9,1.6,Real Salt Lake,21579,6,1,Portland Timbers,2021
360,Regular Season,2021-09-26,Chicago Fire,0.2,0.4,Nashville,15915,0,0,,2021
361,Regular Season,2021-09-26,Sporting KC,0.4,1.2,Seattle,19248,1,2,Seattle,2021
363,Regular Season,2021-09-26,Austin FC,0.9,1.3,LA Galaxy,0,2,0,Austin FC,2021
364,Regular Season,2021-09-29,Atlanta Utd,2.0,0.6,Inter Miami,42519,1,0,Atlanta Utd,2021
365,Regular Season,2021-09-29,Toronto FC,3.6,0.5,FC Cincinnati,5110,3,2,Toronto FC,2021
366,Regular Season,2021-09-29,NY Red Bulls,0.7,0.9,Philadelphia,9193,1,1,,2021
367,Regular Season,2021-09-29,D.C. United,3.0,0.2,Minnesota Utd,12262,3,1,D.C. United,2021
368,Regular Season,2021-09-29,CF Montréal,1.5,1.6,New England,0,1,4,New England,2021
369,Regular Season,2021-09-29,Chicago Fire,0.9,0.7,NYCFC,5593,2,0,Chicago Fire,2021
370,Regular Season,2021-09-29,FC Dallas,1.0,1.7,Sporting KC,12387,1,3,Sporting KC,2021
371,Regular Season,2021-09-29,Nashville,1.7,1.2,Orlando City,18648,2,2,,2021
372,Regular Season,2021-09-29,Colorado Rapids,1.1,0.6,Austin FC,8582,3,0,Colorado Rapids,2021
373,Regular Season,2021-09-29,Houston Dynamo,1.8,0.2,Vancouver,12114,0,0,,2021
374,Regular Season,2021-09-29,Real Salt Lake,1.1,1.9,LA Galaxy,18121,2,1,Real Salt Lake,2021
375,Regular Season,2021-09-29,Los Angeles FC,0.9,0.9,Portland Timbers,22056,1,2,Portland Timbers,2021
376,Regular Season,2021-09-29,San Jose,0.3,2.3,Seattle,11361,1,3,Seattle,2021
377,Regular Season,2021-10-02,Austin FC,3.5,1.1,Real Salt Lake,0,2,1,Austin FC,2021
378,Regular Season,2021-10-02,CF Montréal,1.5,1.5,Atlanta Utd,0,2,1,CF Montréal,2021
379,Regular Season,2021-10-02,FC Cincinnati,0.4,1.0,NY Red Bulls,22141,0,1,NY Red Bulls,2021
380,Regular Season,2021-10-02,Orlando City,1.4,0.5,D.C. United,16848,2,1,Orlando City,2021
381,Regular Season,2021-10-02,FC Dallas,1.0,1.5,Minnesota Utd,17231,0,0,,2021
382,Regular Season,2021-10-02,Vancouver,2.3,0.4,San Jose,0,3,0,Vancouver,2021
383,Regular Season,2021-10-03,NYCFC,1.7,0.7,Nashville,0,0,0,,2021
384,Regular Season,2021-10-03,Sporting KC,3.6,1.8,Houston Dynamo,17867,4,2,Sporting KC,2021
385,Regular Season,2021-10-03,Toronto FC,2.5,0.6,Chicago Fire,0,3,1,Toronto FC,2021
386,Regular Season,2021-10-03,Philadelphia,1.2,1.6,Columbus Crew,15578,3,0,Philadelphia,2021
387,Regular Season,2021-10-03,Portland Timbers,1.9,0.9,Inter Miami,22006,1,0,Portland Timbers,2021
389,Regular Season,2021-10-03,LA Galaxy,1.1,1.1,Los Angeles FC,25174,1,1,,2021
390,Regular Season,2021-10-03,Seattle,1.2,1.1,Colorado Rapids,31425,3,0,Seattle,2021
391,Regular Season,2021-10-09,NY Red Bulls,1.9,0.6,Inter Miami,17516,1,0,NY Red Bulls,2021
392,Regular Season,2021-10-09,FC Cincinnati,1.6,1.6,Philadelphia,21674,1,2,Philadelphia,2021
393,Regular Season,2021-10-09,Seattle,1.6,1.7,Vancouver,31842,4,1,Seattle,2021
394,Regular Season,2021-10-10,Minnesota Utd,1.4,2.7,Colorado Rapids,0,1,3,Colorado Rapids,2021
395,Regular Season,2021-10-16,CF Montréal,0.6,0.2,Philadelphia,0,2,2,,2021
396,Regular Season,2021-10-16,Los Angeles FC,2.8,2.0,San Jose,22003,3,1,Los Angeles FC,2021
397,Regular Season,2021-10-16,Columbus Crew,2.9,0.4,Inter Miami,19338,4,0,Columbus Crew,2021
398,Regular Season,2021-10-16,New England,1.4,1.4,Chicago Fire,28414,2,2,,2021
399,Regular Season,2021-10-16,FC Cincinnati,0.6,1.0,Orlando City,22488,0,1,Orlando City,2021
400,Regular Season,2021-10-16,Toronto FC,1.1,1.6,Atlanta Utd,7490,0,2,Atlanta Utd,2021
401,Regular Season,2021-10-16,D.C. United,0.9,0.2,Nashville,18034,0,0,,2021
402,Regular Season,2021-10-16,Houston Dynamo,0.9,0.8,Seattle,14265,2,1,Houston Dynamo,2021
403,Regular Season,2021-10-16,Austin FC,1.6,1.6,Minnesota Utd,20738,0,1,Minnesota Utd,2021
404,Regular Season,2021-10-16,Real Salt Lake,1.5,0.7,Colorado Rapids,0,3,1,Real Salt Lake,2021
405,Regular Season,2021-10-16,LA Galaxy,3.1,0.4,Portland Timbers,15322,2,1,LA Galaxy,2021
406,Regular Season,2021-10-17,NY Red Bulls,1.8,0.7,NYCFC,18613,1,0,NY Red Bulls,2021
407,Regular Season,2021-10-17,Vancouver,0.8,0.4,Sporting KC,10990,2,1,Vancouver,2021
408,Regular Season,2021-10-20,Orlando City,1.8,1.0,CF Montréal,15775,1,1,,2021
409,Regular Season,2021-10-20,Inter Miami,1.7,0.7,Toronto FC,0,3,0,Inter Miami,2021
410,Regular Season,2021-10-20,Atlanta Utd,0.7,0.9,NYCFC,42511,1,1,,2021
411,Regular Season,2021-10-20,FC Cincinnati,2.2,2.5,Chicago Fire,21369,3,4,Chicago Fire,2021
412,Regular Season,2021-10-20,D.C. United,1.9,1.5,New England,13387,2,3,New England,2021
413,Regular Season,2021-10-20,Minnesota Utd,1.8,2.2,Philadelphia,0,3,2,Minnesota Utd,2021
415,Regular Season,2021-10-20,FC Dallas,1.2,1.6,Los Angeles FC,12532,2,3,Los Angeles FC,2021
416,Regular Season,2021-10-20,Houston Dynamo,1.7,1.6,LA Galaxy,13798,0,3,LA Galaxy,2021
417,Regular Season,2021-10-20,Nashville,0.6,0.5,Columbus Crew,18381,1,1,,2021
418,Regular Season,2021-10-20,Colorado Rapids,1.0,1.3,Seattle,9316,1,1,,2021
419,Regular Season,2021-10-20,Portland Timbers,0.8,1.4,Vancouver,16722,2,3,Vancouver,2021
420,Regular Season,2021-10-20,San Jose,2.7,0.7,Austin FC,12035,4,0,San Jose,2021
421,Regular Season,2021-10-23,Seattle,1.8,1.1,Sporting KC,32139,1,2,Sporting KC,2021
422,Regular Season,2021-10-23,Columbus Crew,0.6,2.5,NY Red Bulls,17891,1,2,NY Red Bulls,2021
423,Regular Season,2021-10-23,Philadelphia,1.7,0.3,Nashville,18575,1,0,Philadelphia,2021
424,Regular Season,2021-10-23,NYCFC,3.1,0.5,D.C. United,0,6,0,NYCFC,2021
425,Regular Season,2021-10-23,Toronto FC,1.8,2.0,CF Montréal,8095,1,1,,2021
426,Regular Season,2021-10-23,Chicago Fire,2.0,1.2,Real Salt Lake,31308,1,0,Chicago Fire,2021
427,Regular Season,2021-10-23,Minnesota Utd,2.1,0.6,Los Angeles FC,19406,1,1,,2021
428,Regular Season,2021-10-23,Inter Miami,2.4,1.2,FC Cincinnati,14927,5,1,Inter Miami,2021
429,Regular Season,2021-10-23,Colorado Rapids,1.7,0.3,Portland Timbers,12200,2,0,Colorado Rapids,2021
430,Regular Season,2021-10-23,San Jose,1.1,0.7,Vancouver,15025,1,1,,2021
431,Regular Season,2021-10-23,LA Galaxy,1.9,1.5,FC Dallas,15136,2,2,,2021
432,Regular Season,2021-10-24,Austin FC,2.3,0.6,Houston Dynamo,0,2,1,Austin FC,2021
433,Regular Season,2021-10-24,Orlando City,2.0,1.5,New England,17539,2,2,,2021
434,Regular Season,2021-10-26,Los Angeles FC,1.4,1.0,Seattle,22030,3,0,Los Angeles FC,2021
435,Regular Season,2021-10-27,New England,1.5,0.9,Colorado Rapids,10199,1,0,New England,2021
436,Regular Season,2021-10-27,FC Cincinnati,2.3,2.2,Nashville,20581,3,6,Nashville,2021
437,Regular Season,2021-10-27,D.C. United,0.8,1.6,NY Red Bulls,14109,1,0,D.C. United,2021
438,Regular Season,2021-10-27,Columbus Crew,0.8,1.6,Orlando City,16676,3,2,Columbus Crew,2021
439,Regular Season,2021-10-27,NYCFC,2.1,0.6,Chicago Fire,0,1,0,NYCFC,2021
441,Regular Season,2021-10-27,Toronto FC,1.3,2.0,Philadelphia,5026,2,2,,2021
442,Regular Season,2021-10-27,Atlanta Utd,1.2,2.1,Inter Miami,42536,2,1,Atlanta Utd,2021
443,Regular Season,2021-10-27,FC Dallas,1.4,1.1,Real Salt Lake,12486,1,2,Real Salt Lake,2021
444,Regular Season,2021-10-27,Sporting KC,0.6,0.7,LA Galaxy,18711,2,0,Sporting KC,2021
445,Regular Season,2021-10-27,Vancouver,1.2,1.8,Minnesota Utd,10833,2,1,Vancouver,2021
446,Regular Season,2021-10-27,Portland Timbers,3.0,1.2,San Jose,16086,2,0,Portland Timbers,2021
447,Regular Season,2021-10-30,Inter Miami,1.1,1.7,NYCFC,17595,1,3,NYCFC,2021
448,Regular Season,2021-10-30,Real Salt Lake,2.1,2.3,San Jose,15553,3,4,San Jose,2021
449,Regular Season,2021-10-30,NY Red Bulls,1.3,0.6,CF Montréal,16344,1,0,NY Red Bulls,2021
450,Regular Season,2021-10-30,Atlanta Utd,2.8,1.2,Toronto FC,43372,1,1,,2021
451,Regular Season,2021-10-30,D.C. United,1.0,2.2,Columbus Crew,16787,1,3,Columbus Crew,2021
452,Regular Season,2021-10-30,FC Dallas,1.9,0.7,Austin FC,16080,2,1,FC Dallas,2021
453,Regular Season,2021-10-31,Minnesota Utd,1.8,0.7,Sporting KC,0,2,1,Minnesota Utd,2021
454,Regular Season,2021-10-31,Houston Dynamo,0.5,0.4,Colorado Rapids,14474,0,1,Colorado Rapids,2021
455,Regular Season,2021-10-31,Orlando City,1.0,1.0,Nashville,15959,1,1,,2021
456,Regular Season,2021-10-31,Philadelphia,2.5,0.4,FC Cincinnati,13488,2,0,Philadelphia,2021
457,Regular Season,2021-11-01,Seattle,1.3,1.1,LA Galaxy,32781,1,1,,2021
458,Regular Season,2021-11-02,Los Angeles FC,3.3,1.2,Vancouver,22221,1,1,,2021
459,Regular Season,2021-11-03,CF Montréal,1.0,0.6,Houston Dynamo,0,2,0,CF Montréal,2021
460,Regular Season,2021-11-03,NY Red Bulls,1.2,0.1,Atlanta Utd,15934,0,0,,2021
461,Regular Season,2021-11-03,Austin FC,1.9,0.9,Sporting KC,20738,3,1,Austin FC,2021
462,Regular Season,2021-11-03,Real Salt Lake,1.9,1.6,Portland Timbers,18405,1,3,Portland Timbers,2021
463,Regular Season,2021-11-07,Nashville,0.9,1.7,NY Red Bulls,26913,1,1,,2021
464,Regular Season,2021-11-07,Toronto FC,1.0,2.7,D.C. United,11166,1,3,D.C. United,2021
465,Regular Season,2021-11-07,New England,1.9,0.5,Inter Miami,31635,0,1,Inter Miami,2021
467,Regular Season,2021-11-07,CF Montréal,1.7,0.8,Orlando City,0,0,2,Orlando City,2021
468,Regular Season,2021-11-07,Columbus Crew,3.2,0.6,Chicago Fire,19351,2,0,Columbus Crew,2021
469,Regular Season,2021-11-07,NYCFC,0.5,1.8,Philadelphia,0,1,1,,2021
470,Regular Season,2021-11-07,FC Cincinnati,0.7,2.1,Atlanta Utd,23663,1,2,Atlanta Utd,2021
471,Regular Season,2021-11-07,LA Galaxy,2.0,2.5,Minnesota Utd,23803,3,3,,2021
472,Regular Season,2021-11-07,Portland Timbers,3.9,0.5,Austin FC,23127,3,0,Portland Timbers,2021
473,Regular Season,2021-11-07,Vancouver,1.2,1.8,Seattle,25117,1,1,,2021
474,Regular Season,2021-11-07,San Jose,2.0,1.3,FC Dallas,0,1,1,,2021
475,Regular Season,2021-11-07,Colorado Rapids,2.7,1.5,Los Angeles FC,16292,5,2,Colorado Rapids,2021
476,Regular Season,2021-11-07,Sporting KC,1.1,1.4,Real Salt Lake,19022,0,1,Real Salt Lake,2021
477,First Round,2021-11-20,Philadelphia,2.1,0.9,NY Red Bulls,18623,1,0,Philadelphia,2021
478,First Round,2021-11-20,Sporting KC,1.4,1.0,Vancouver,19817,3,1,Sporting KC,2021
479,First Round,2021-11-21,NYCFC,0.9,0.4,Atlanta Utd,25267,2,0,NYCFC,2021
480,First Round,2021-11-21,Portland Timbers,2.3,1.6,Minnesota Utd,22533,3,1,Portland Timbers,2021
481,First Round,2021-11-23,Nashville,0.5,0.5,Orlando City,26043,3,1,Nashville,2021
482,First Round,2021-11-23,Seattle,1.2,0.0,Real Salt Lake,34012,0,0,Real Salt Lake,2021
483,Conference Semifinals,2021-11-25,Colorado Rapids,0.8,1.2,Portland Timbers,17438,0,1,Portland Timbers,2021
484,Conference Semifinals,2021-11-28,Sporting KC,1.0,1.0,Real Salt Lake,21650,1,2,Real Salt Lake,2021
485,Conference Semifinals,2021-11-28,Philadelphia,2.3,1.0,Nashville,19076,1,1,Philadelphia,2021
486,Conference Semifinals,2021-11-30,New England,1.2,1.6,NYCFC,25509,2,2,NYCFC,2021
487,Conference Finals,2021-12-04,Portland Timbers,1.5,0.4,Real Salt Lake,0,2,0,Portland Timbers,2021
488,Conference Finals,2021-12-05,Philadelphia,0.4,1.4,NYCFC,19487,1,2,NYCFC,2021
489,MLS Cup,2021-12-11,Portland Timbers,1.7,0.6,NYCFC,25218,1,1,NYCFC,2021
