,Round,Date,Home,Away,Venue,Attendance,GHome,GAway,Winner,Season
113,Regular Season,2015-05-23,New England,D.C. United,Gillette Stadium,15216,1,1,,2015
114,Regular Season,2015-05-23,Montreal Impact,FC Dallas,Saputo Stadium,13020,2,1,Montreal Impact,2015
115,Regular Season,2015-05-23,Colorado Rapids,Vancouver,Dick's Sporting Goods Park,17791,1,0,Colorado Rapids,2015
116,Regular Season,2015-05-23,Seattle,Sporting KC,CenturyLink Field,40653,0,0,,2015
117,Regular Season,2015-05-23,Real Salt Lake,NYCFC,Rio Tinto Stadium,20801,2,0,Real Salt Lake,2015
118,Regular Season,2015-05-24,NY Red Bulls,Philadelphia,Red Bull Arena,20190,0,2,Philadelphia,2015
119,Regular Season,2015-05-24,San Jose,Orlando City,Levi's Stadium,36224,1,1,,2015
120,Regular Season,2015-05-27,Seattle,Colorado Rapids,CenturyLink Field,39757,1,0,Seattle,2015
121,Regular Season,2015-05-27,LA Galaxy,Real Salt Lake,Dignity Health Sports Park,13391,1,0,LA Galaxy,2015
122,Regular Season,2015-05-27,Portland Timbers,D.C. United,Providence Park,21144,1,0,Portland Timbers,2015
123,Regular Season,2015-05-29,Sporting KC,FC Dallas,Children's Mercy Park,20172,4,0,Sporting KC,2015
124,Regular Season,2015-05-30,Toronto FC,San Jose,BMO Field,17711,3,1,Toronto FC,2015
125,Regular Season,2015-05-30,Vancouver,Real Salt Lake,BC Place,21000,2,1,Vancouver,2015
126,Regular Season,2015-05-30,NYCFC,Houston Dynamo,Yankee Stadium,26211,1,1,,2015
127,Regular Season,2015-05-30,D.C. United,Philadelphia,Robert F. Kennedy Memorial Stadium,16284,2,1,D.C. United,2015
129,Regular Season,2015-05-30,Orlando City,Columbus Crew,Camping World Stadium,31430,2,2,,2015
130,Regular Season,2015-05-30,Chicago Fire,Montreal Impact,SeatGeek Stadium,15256,3,0,Chicago Fire,2015
131,Regular Season,2015-05-30,Colorado Rapids,Portland Timbers,Dick's Sporting Goods Park,18209,1,2,Portland Timbers,2015
132,Regular Season,2015-05-31,Seattle,NY Red Bulls,CenturyLink Field,40194,2,1,Seattle,2015
133,Regular Season,2015-05-31,New England,LA Galaxy,Gillette Stadium,17569,2,2,,2015
134,Regular Season,2015-06-03,Philadelphia,Columbus Crew,Red Bull Arena,15374,3,0,Philadelphia,2015
135,Regular Season,2015-06-03,D.C. United,Chicago Fire,Robert F. Kennedy Memorial Stadium,11218,3,1,D.C. United,2015
136,Regular Season,2015-06-03,Montreal Impact,Vancouver,Saputo Stadium,10035,2,1,Montreal Impact,2015
137,Regular Season,2015-06-05,Houston Dynamo,NY Red Bulls,BBVA Compass Stadium,22356,4,2,Houston Dynamo,2015
138,Regular Season,2015-06-06,Philadelphia,NYCFC,Subaru Park,18517,1,2,NYCFC,2015
139,Regular Season,2015-06-06,D.C. United,Toronto FC,Robert F. Kennedy Memorial Stadium,17105,1,2,Toronto FC,2015
140,Regular Season,2015-06-06,Columbus Crew,Montreal Impact,MAPFRE Stadium,12265,1,2,Montreal Impact,2015
141,Regular Season,2015-06-06,Chicago Fire,Orlando City,SeatGeek Stadium,20124,2,3,Orlando City,2015
142,Regular Season,2015-06-06,Sporting KC,Seattle,Children's Mercy Park,21505,1,0,Sporting KC,2015
143,Regular Season,2015-06-06,Portland Timbers,New England,Providence Park,21114,2,0,Portland Timbers,2015
144,Regular Season,2015-06-06,LA Galaxy,Vancouver,Dignity Health Sports Park,20219,0,1,Vancouver,2015
145,Regular Season,2015-06-07,Real Salt Lake,Colorado Rapids,Rio Tinto Stadium,18895,0,0,,2015
146,Regular Season,2015-06-07,San Jose,FC Dallas,Avaya Stadium,18000,0,0,,2015
147,Regular Season,2015-06-13,NYCFC,Montreal Impact,Yankee Stadium,24042,3,1,NYCFC,2015
148,Regular Season,2015-06-13,New England,Chicago Fire,Gillette Stadium,15775,2,0,New England,2015
149,Regular Season,2015-06-13,Columbus Crew,LA Galaxy,MAPFRE Stadium,21051,1,1,,2015
150,Regular Season,2015-06-13,Seattle,FC Dallas,CenturyLink Field,41108,3,0,Seattle,2015
151,Regular Season,2015-06-14,Orlando City,D.C. United,Camping World Stadium,30054,1,0,Orlando City,2015
152,Regular Season,2015-06-19,Colorado Rapids,FC Dallas,Dick's Sporting Goods Park,15585,1,1,,2015
153,Regular Season,2015-06-20,Seattle,San Jose,CenturyLink Field,39971,0,2,San Jose,2015
155,Regular Season,2015-06-20,Toronto FC,NYCFC,BMO Field,30029,0,2,NYCFC,2015
156,Regular Season,2015-06-20,NY Red Bulls,Vancouver,Red Bull Arena,20053,1,2,Vancouver,2015
157,Regular Season,2015-06-20,Montreal Impact,Orlando City,Saputo Stadium,17820,2,0,Montreal Impact,2015
158,Regular Season,2015-06-20,LA Galaxy,Philadelphia,Dignity Health Sports Park,23875,5,1,LA Galaxy,2015
159,Regular Season,2015-06-20,Portland Timbers,Houston Dynamo,Providence Park,21144,2,0,Portland Timbers,2015
160,Regular Season,2015-06-21,D.C. United,New England,Robert F. Kennedy Memorial Stadium,17213,2,1,D.C. United,2015
161,Regular Season,2015-06-21,Real Salt Lake,Sporting KC,Rio Tinto Stadium,19155,2,1,Real Salt Lake,2015
162,Regular Season,2015-06-24,Philadelphia,Seattle,Subaru Park,18072,1,0,Philadelphia,2015
163,Regular Season,2015-06-24,Columbus Crew,New England,MAPFRE Stadium,11435,2,1,Columbus Crew,2015
164,Regular Season,2015-06-24,NY Red Bulls,Real Salt Lake,Red Bull Arena,15844,1,0,NY Red Bulls,2015
165,Regular Season,2015-06-24,Orlando City,Colorado Rapids,Camping World Stadium,23372,2,0,Orlando City,2015
