,Round,Date,Home,Away,Attendance,GHome,GAway,Winner,Season
328,Regular Season,2013-10-26,Philadelphia,Sporting KC,0,1,2,Sporting KC,2013
329,Regular Season,2013-10-26,Chivas USA,Portland Timbers,0,0,5,Portland Timbers,2013
330,Regular Season,2013-10-27,Seattle,LA Galaxy,0,1,1,,2013
331,Regular Season,2013-10-27,Columbus Crew,New England,0,0,1,New England,2013
332,Regular Season,2013-10-27,NY Red Bulls,Chicago Fire,0,5,2,NY Red Bulls,2013
333,Regular Season,2013-10-27,D.C. United,Houston Dynamo,0,1,2,Houston Dynamo,2013
334,Regular Season,2013-10-27,Vancouver,Colorado Rapids,0,3,0,Vancouver,2013
335,Knockout round,2013-10-30,Seattle,Colorado Rapids,32204,2,0,Seattle,2013
337,Knockout round,2013-10-31,Houston Dynamo,Montreal Impact,10476,3,0,Houston Dynamo,2013
338,Conference Semifinals,2013-11-02,New England,Sporting KC,15164,2,1,New England,2013
339,Conference Semifinals,2013-11-02,Seattle,Portland Timbers,38507,1,2,Portland Timbers,2013
340,Conference Semifinals,2013-11-03,Houston Dynamo,NY Red Bulls,20626,2,2,,2013
341,Conference Semifinals,2013-11-03,LA Galaxy,Real Salt Lake,27000,1,0,LA Galaxy,2013
342,Conference Semifinals,2013-11-06,NY Red Bulls,Houston Dynamo,22264,1,2,Houston Dynamo,2013
343,Conference Semifinals,2013-11-06,Sporting KC,New England,19031,3,1,Sporting KC,2013
344,Conference Semifinals,2013-11-07,Real Salt Lake,LA Galaxy,19042,2,0,Real Salt Lake,2013
345,Conference Semifinals,2013-11-07,Portland Timbers,Seattle,20674,3,2,Portland Timbers,2013
346,Conference Finals,2013-11-09,Houston Dynamo,Sporting KC,22107,0,0,,2013
347,Conference Finals,2013-11-10,Real Salt Lake,Portland Timbers,17333,4,2,Real Salt Lake,2013
348,Conference Finals,2013-11-23,Sporting KC,Houston Dynamo,21650,2,1,Sporting KC,2013
349,Conference Finals,2013-11-24,Portland Timbers,Real Salt Lake,20674,0,1,Real Salt Lake,2013
350,MLS Cup 2013,2013-12-07,Sporting KC,Real Salt Lake,21650,1,1,Sporting KC,2013
