,Round,Date,Home,Away,Attendance,GHome,GAway,Winner,Season
328,Regular Season,2012-10-27,Philadelphia,NY Red Bulls,0,0,3,NY Red Bulls,2012
329,Regular Season,2012-10-27,Montreal Impact,New England,0,0,1,New England,2012
330,Regular Season,2012-10-27,Chicago Fire,D.C. United,0,1,1,,2012
331,Regular Season,2012-10-27,Portland Timbers,San Jose,0,1,1,,2012
332,Regular Season,2012-10-28,Columbus Crew,Toronto FC,0,2,1,Columbus Crew,2012
333,Regular Season,2012-10-28,LA Galaxy,Seattle,0,1,0,LA Galaxy,2012
334,Regular Season,2012-10-28,FC Dallas,Chivas USA,0,2,2,,2012
335,Knockout round,2012-10-31,Chicago Fire,Houston Dynamo,10923,1,2,Houston Dynamo,2012
337,Knockout round,2012-11-01,LA Galaxy,Vancouver,14703,2,1,LA Galaxy,2012
338,Conference Semifinals,2012-11-02,Seattle,Real Salt Lake,34941,0,0,,2012
339,Conference Semifinals,2012-11-03,D.C. United,NY Red Bulls,17556,1,1,,2012
340,Conference Semifinals,2012-11-04,Houston Dynamo,Sporting KC,20689,2,0,Houston Dynamo,2012
341,Conference Semifinals,2012-11-04,LA Galaxy,San Jose,27000,0,1,San Jose,2012
342,Conference Semifinals,2012-11-07,Sporting KC,Houston Dynamo,20894,1,0,Sporting KC,2012
343,Conference Semifinals,2012-11-08,NY Red Bulls,D.C. United,14035,0,1,D.C. United,2012
344,Conference Semifinals,2012-11-08,Real Salt Lake,Seattle,19657,0,1,Seattle,2012
345,Conference Semifinals,2012-11-08,San Jose,LA Galaxy,10744,1,3,LA Galaxy,2012
346,Conference Finals,2012-11-11,Houston Dynamo,D.C. United,22101,3,1,Houston Dynamo,2012
347,Conference Finals,2012-11-11,LA Galaxy,Seattle,27000,3,0,LA Galaxy,2012
348,Conference Finals,2012-11-18,D.C. United,Houston Dynamo,20015,1,1,,2012
349,Conference Finals,2012-11-18,Seattle,LA Galaxy,44575,2,1,Seattle,2012
350,MLS Cup 2012,2012-12-01,LA Galaxy,Houston Dynamo,30515,3,1,LA Galaxy,2012
